Speaker	and	arch	bezhh	bezht	bud	cham	chamg	gin	gunz	hin	inh	kryz	lak	rutl	tsah	tsahg	tsahts	tsez
and	0.0	0.6407766990291263	0.6077481840193705	0.6306954436450839	0.6463414634146342	0.6452380952380953	0.6033254156769596	0.6987654320987654	0.6161137440758294	0.654320987654321	0.6508313539192399	0.6497584541062802	0.6498800959232613	0.6642335766423357	0.6956521739130435	0.6924939467312349	0.6949152542372882	0.7211538461538461
arch	0.6407766990291263	0.0	0.4023809523809524	0.40865384615384615	0.30952380952380953	0.4716981132075472	0.45647058823529413	0.44717444717444715	0.4098360655737705	0.33171912832929784	0.4519906323185012	0.32935560859188545	0.2737819025522042	0.34210526315789475	0.35799522673031026	0.35406698564593303	0.35308056872037913	0.42650602409638555
bezhh	0.6077481840193705	0.4023809523809524	0.0	0.040268456375838924	0.3862559241706161	0.44680851063829785	0.3990498812351544	0.39952153110047844	0.10550458715596331	0.4282238442822384	0.3681710213776722	0.4268867924528302	0.4047058823529412	0.4224343675417661	0.4146919431279621	0.42042755344418054	0.4152744630071599	0.4131455399061033
bezht	0.6306954436450839	0.40865384615384615	0.040268456375838924	0.0	0.39903846153846156	0.44680851063829785	0.40380047505938244	0.3914081145584726	0.10755148741418764	0.42574257425742573	0.360381861575179	0.4364508393285372	0.38497652582159625	0.4206730769230769	0.4196642685851319	0.434052757793765	0.42028985507246375	0.41627906976744183
bud	0.6463414634146342	0.30952380952380953	0.3862559241706161	0.39903846153846156	0.0	0.5117924528301887	0.4785714285714286	0.4852216748768473	0.4186046511627907	0.3543123543123543	0.5011709601873536	0.2164009111617312	0.3	0.2753623188405797	0.28878281622911695	0.2850356294536817	0.2860520094562648	0.4665071770334928
cham	0.6452380952380953	0.4716981132075472	0.44680851063829785	0.44680851063829785	0.5117924528301887	0.0	0.17194570135746606	0.533816425120773	0.41743119266055045	0.49760765550239233	0.3927765237020316	0.5046948356807511	0.47045454545454546	0.45933014354066987	0.4916864608076009	0.4799054373522459	0.4811320754716981	0.5128805620608899
chamg	0.6033254156769596	0.45647058823529413	0.3990498812351544	0.40380047505938244	0.4785714285714286	0.17194570135746606	0.0	0.48661800486618007	0.39814814814814814	0.48095238095238096	0.36054421768707484	0.4637002341920375	0.45681818181818185	0.45323741007194246	0.47754137115839246	0.4657210401891253	0.4669811320754717	0.475177304964539
gin	0.6987654320987654	0.44717444717444715	0.39952153110047844	0.3914081145584726	0.4852216748768473	0.533816425120773	0.48661800486618007	0.0	0.3938679245283019	0.4823232323232323	0.44096385542168676	0.4669926650366748	0.4346793349168646	0.45885286783042395	0.48894348894348894	0.47665847665847666	0.4950980392156863	0.20941176470588235
gunz	0.6161137440758294	0.4098360655737705	0.10550458715596331	0.10755148741418764	0.4186046511627907	0.41743119266055045	0.39814814814814814	0.3938679245283019	0.0	0.4251781472684085	0.3563218390804598	0.4428904428904429	0.3840909090909091	0.4142857142857143	0.4262295081967213	0.42990654205607476	0.4238875878220141	0.4059633027522936
hin	0.654320987654321	0.33171912832929784	0.4282238442822384	0.42574257425742573	0.3543123543123543	0.49760765550239233	0.48095238095238096	0.4823232323232323	0.4251781472684085	0.0	0.5224586288416075	0.3401826484018265	0.33021077283372363	0.324582338902148	0.35308056872037913	0.32547169811320753	0.351288056206089	0.4803921568627451
inh	0.6508313539192399	0.4519906323185012	0.3681710213776722	0.360381861575179	0.5011709601873536	0.3927765237020316	0.36054421768707484	0.44096385542168676	0.3563218390804598	0.5224586288416075	0.0	0.48717948717948717	0.47045454545454546	0.5035799522673031	0.49411764705882355	0.4847775175644028	0.49414519906323184	0.3829787234042553
kryz	0.6497584541062802	0.32935560859188545	0.4268867924528302	0.4364508393285372	0.2164009111617312	0.5046948356807511	0.4637002341920375	0.4669926650366748	0.4428904428904429	0.3401826484018265	0.48717948717948717	0.0	0.33640552995391704	0.2907801418439716	0.32798165137614677	0.317351598173516	0.33029612756264237	0.4543269230769231
lak	0.6498800959232613	0.2737819025522042	0.4047058823529412	0.38497652582159625	0.3	0.47045454545454546	0.45681818181818185	0.4346793349168646	0.3840909090909091	0.33021077283372363	0.47045454545454546	0.33640552995391704	0.0	0.31220657276995306	0.33256880733944955	0.3447488584474886	0.3333333333333333	0.41451990632318503
rutl	0.6642335766423357	0.34210526315789475	0.4224343675417661	0.4206730769230769	0.2753623188405797	0.45933014354066987	0.45323741007194246	0.45885286783042395	0.4142857142857143	0.324582338902148	0.5035799522673031	0.2907801418439716	0.31220657276995306	0.0	0.19399538106235567	0.20601851851851852	0.17782909930715934	0.460431654676259
