NN	lex_rus	lang	class	lex_nd	erg	gen	dat	PL	first_cons	first_vowel	lex_rus_sem	compound	semantics_KK	semantics_KK_detailed	comm
1	голова	анд	4	mijar	-u-di			-du-l	m				тело (человека, животного)	голова и шея	
1	голова	чам	4	un	-a/-u-d			-a-be		u			тело (человека, животного)	голова и шея	
1	голова	чамг	4	uni	un-i/a-di			un-ib		u			тело (человека, животного)	голова и шея	
1	голова	инх	4	q'1em		-ɨ-s		-bo	q'				тело (человека, животного)	голова и шея	
1	голова	цез	4	q'1im		q'1em-e-s		-bi	q'				тело (человека, животного)	голова и шея	
1	голова	гин	4	q'imu		-s			q'				тело (человека, животного)	голова и шея	
1	голова	бежт	4	q'äm		-i-š		-lä	q'				тело (человека, животного)	голова и шея	ʟ в нижнем регистре
1	голова	бежх	4	q'äm		-i-s		-ä	q'				тело (человека, животного)	голова и шея	
1	голова	гунз	4	q'em		-i-s		-a	q'				тело (человека, животного)	голова и шея	
1	голова	лак	3	bak'		-ra-l		-ru	b				тело (человека, животного)	голова и шея	
1	голова	арч	4	kart'i	-li			-tːu	k		мужчины		тело (человека, животного)	голова и шея	
1	голова	арч	4	o1nt	-li			-or		o1	женщины и животного		тело (человека, животного)	голова и шея	
1	голова	рутл	3	huq'ul	huq'l-i-r			-bɨr	h				тело (человека, животного)	голова и шея	
1	голова	рутл	3	kalle	kalli-ji-r			-bɨr	k		крупного рогатого скота		тело (человека, животного)	голова и шея	
1	голова	цах	3	wuk'uly			wuk'l-e-s		w				тело (человека, животного)	голова и шея	
1	голова	цах	3	kalle					k		животного		тело (человека, животного)	голова и шея	
1	голова	цахг	3	wuq'uly					w				тело (человека, животного)	голова и шея	
1	голова	цахг	3	kalle					k		животного		тело (человека, животного)	голова и шея	
1	голова	цахц	3	wuk'ul					w				тело (человека, животного)	голова и шея	
1	голова	цахц	4	kalle					k		животного		тело (человека, животного)	голова и шея	
1	голова	крыз	3	q'ɨl		q'äl-i		q'äl-im	q'				тело (человека, животного)	голова и шея	
1	голова	буд	3	q'ɨl			-ɨ-z	-ɨmbe-r	q'				тело (человека, животного)	голова и шея	
1	голова	хин	4	kalla	kall-i			-d	k				тело (человека, животного)	голова и шея	
1	голова	хин	3	mik'ir	mɨk'y-i			mɨk'-ɨ-z	m				тело (человека, животного)	голова и шея	
2	лоб	анд	4	honno	-llo-di			-l // honn-obi-l	h				тело (человека, животного)	голова и шея	
2	лоб	чам	4	haʟ'a	-d			-be	h				тело (человека, животного)	голова и шея	
