NN	lex_rus	lang	class	lex_nd	erg	gen	dat	PL	first_cons	first_vowel	lex_rus_sem	compound	semantics_KK	semantics_KK_detailed	comm
1	golova	and	4	mijar	-u-di			-du-l	m				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	cham	4	un	-a/-u-d			-a-be		u			telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	chamg	4	uni	un-i/a-di			un-ib		u			telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	inh	4	q'1em		-ɨ-s		-bo	q'				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	tsez	4	q'1im		q'1em-e-s		-bi	q'				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	gin	4	q'imu		-s			q'				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	bezht	4	q'äm		-i-š		-lä	q'				telo (cheloveka, zhivotnogo)	golova i sheja	ʟ v nizhnem registre
1	golova	bezhh	4	q'äm		-i-s		-ä	q'				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	gunz	4	q'em		-i-s		-a	q'				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	lak	3	bak'		-ra-l		-ru	b				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	arch	4	kart'i	-li			-tːu	k		muzhchiny		telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	arch	4	o1nt	-li			-or		o1	zhenschiny i zhivotnogo		telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	rutl	3	huq'ul	huq'l-i-r			-bɨr	h				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	rutl	3	kalle	kalli-ji-r			-bɨr	k		krupnogo rogatogo skota		telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	tsah	3	wuk'uly			wuk'l-e-s		w				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	tsah	3	kalle					k		zhivotnogo		telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	tsahg	3	wuq'uly					w				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	tsahg	3	kalle					k		zhivotnogo		telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	tsahts	3	wuk'ul					w				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	tsahts	4	kalle					k		zhivotnogo		telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	kryz	3	q'ɨl		q'äl-i		q'äl-im	q'				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	bud	3	q'ɨl			-ɨ-z	-ɨmbe-r	q'				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	hin	4	kalla	kall-i			-d	k				telo (cheloveka, zhivotnogo)	golova i sheja	
1	golova	hin	3	mik'ir	mɨk'y-i			mɨk'-ɨ-z	m				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	and	4	honno	-llo-di			-l // honn-obi-l	h				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	cham	4	haʟ'a	-d			-be	h				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	chamg	4	haʟ'a	-di			haʟ'-ib	h				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	inh	3	ʟ'oq'1o	-s			-bo	ʟ'				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	bezht	4	mät'ä		-š		-rö	m				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	bezhh	4	mat'a		-s		-ro	m				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	gunz	4	mat'a		-li-s		-r	m				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	tsez	3	ʟ'oq'1o		-s		-bi	ʟ'				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	gin	3	ʟ'oq'o		-s			ʟ'				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	lak	3	ni1tːa-bak'					n		|ploskaja golova|	1	telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	arch	4	nodo	-li			-tːu	n				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	rutl	4	bel	-i-r			-bɨr	b				telo (cheloveka, zhivotnogo)	golova i sheja	
2	lob	tsah	3	liǧa			-j-ɨ-s // liǧaː-s		l				telo (cheloveka, zhivotnogo)	golova i sheja	
