word	and	arch	bezhh	bezht	bud	cham	chamg	gin	gunz	hin	inh	kryz	lak	rutl	tsah	tsahg	tsahts	tsez
abrikos	5	3	4	4	4	3	3	3	4	3	3	3	3	3 3	3	3	3	3
alycha	4	3	4	4	3	3	NA	3	4	3	3	3	3	3	3	3	3	3
arba	4	4	4	4	4	3	3	3	4	4	3	4	4	4	3	3	3	3
babochka	3	3	3	3	3	3	3	3	3	3	5	4	4	4	4	4	4	3
baran vzroslyj	NA	3	3	3	3	3	NA	3	3	3	NA	3	3	3	3	3	3	3
barbaris	NA	4	5	5	4	5	3	2	5	NA	5	4	3	3	4	4	4	2
barsuk	3	4	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	3
bedro	5	3	4	4	4	4	4	4	4	3	4	4	3	4	3	3	3	4
bereza	5	3	3	3	3	4	4	3	3	NA	3	3	3	3	3	3	3	3
bloha	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
bok	5	3	3	3	4	3	3	3	3	NA	3	NA	3	NA	NA	NA	NA	3
bok (a)	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	3	3	3	3	NA
bok (b)	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	4	NA	4	4	4	4	NA
boroda	4	3	3	5	3	5	4	5	3	3	5	3	3	3	3	3	3	3
borozda	5	4	5	4	3	4	4	3	4	4 3	3	3	4	4	3	3	3	3
braslet	4	4	3	3	3	5	5	3	3	3	3	4	4	3	3	3	3	4
brevno	4	NA	3	3	3	5	NA	3	5	4	NA	3	3	3	NA	NA	NA	NA
brevno (b) balka	NA	4 4 3	4	4	4	NA	3	2	3	4	4	NA	4 3	3	NA	NA	NA	3
brov'	5	4	4	4	4	3	5	4	4	3	4	4	4	4	3	3	3	4
bul'on	4	4	5	5	3	5	5	3 2	5	3	5	4	4	3	3	3	3	4 2
burdjuk	4	4	4	4	4 4	5	4	4	4	4	3	4	4	4	4	4	4	4
burka, vojlok	5	3	5	5	3 3	3	3	2	5	3	3	3	3	4	4	4	4	3
bychok (ot odnogo goda do treh let)	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3 3	3 3	3 3	3
byk (proizvoditel')	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
cheljust'	5	4	4	4	4	3	3	3	4	3	PL	4	4	4	4	4	4	2
cheremsha	5	3	4	4	3	3	3	4	4	4	3	3 3 3	4	3	3 3	3	3 3	2
cherpak	5	4	3 3	3	3	4	4	4	3	3	3	3	3	4 4	3	3	3	4
cherv'	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	4	3	3
chesnok	5	3	5	5	3	3	4	4	4	3	4	3	3	3	3	3	3	4
chirej, naryv	5	3	3	3	3	4	3	NA	3	4	4	3	4	4	4	4	4	4
chlen muzhskoj	4	4	4	4	4	4	3	3	4 4 4	4	3	4	4	4	4	4 3	4 3	3
chuhta	5	4	3	3	4	3	3	4	NA	3	3	4	4	3	4	4	4	4
den'	4	4	4	4	4	3	3	4	4	4	5	4	4	4	4	4	4	4
derevo	4	3	3	3	3	4	4	2	3	3	4	3	3	3	3	3	3	2
desna	5	4	3	3	3	3	3	4	3	3	3	4	4	4	4	4	4	3
detenysh	3	8	3	3	3	3	3	3	3	3	5	4	1 2 3 4	3	3	3	3	3
dno	4	4	5	5	4	4	5	2	5	4	5	4	4	4	4 4	4 4	4 4	2
dom, komnata	4 4	4	4	4	3	3	3	3	4	4	4	3	3	4	4	3	4	4
doroga	5	3	4	4	3	3	3	4	4	3	4	3	3	3	3	3	3	4
doska	4	4	4	4	4	3	3	4	4	4	5	3	4 4	4	4	4	4	4
dozhd'	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4
dub	NA	NA	3	3	3	4	NA	2	3	3	3	3	3	3	3	3	3	3
dver'	4	4	5	5	4	5	5	2 2	5	3 4	4	4	4	4	4	4	4	2
dym	5	4	4	4	4	3	3	2	4	4	5	4	3	4	4	4	4	2
dyra	5	4	4 4	4	4	3	3	2	4 4	3	4	4	4	3	3	3 3	3 3	2
ezh	3	3	3	3	3	5	3	3	3	3	3	3	3	3	4	3	4	NA
fundament	5	3	3	3	4	5	5	3	3	4	3	4	3	3	3	4	4	2
glaz	5	3	4	4	3	3	3	4	4	3	3	3	3	3	3	3	3	4
gnezdo	NA	4	5	5	4	3	3	3	3	3	3	4	3	4	4	4	4	3
